Test Script ID,customerName,searchCustomer,customerOperatingOffice,customerStatus,customerAlias,customerParent,customerContact,customerPhone,customerPhoneNumber,customerFax,customerTollFreeNumber,customerWebsite,customerEmail,customerCredit,customerLoad,customerDuns,customerCell,customerAddress,customerCity,customerZip,customerBilling,customerFinanceNotes,customerState,selectNAIC,deliveryPreference,shareAmount,shareAgent,corpCreditLimitValue,availableCorpCreditValue,salesPersonName,operatingSalesPersonName
SALES-27674,salesAutomationCustomer,FORD MOTOR C/O CASS INFO SYSTEMS,"""OPS - JANE SANDERS (GA-JS)""",NEW,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-27675,salesAutomationCustomer,FORD MOTOR C/O CASS INFO SYSTEMS,"""OPS - JANE SANDERS (GA-JS)""",NEW,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-27676,salesAutomationCustomer,FORD MOTOR C/O CASS INFO SYSTEMS,"""OPS - JANE SANDERS (GA-JS)""",REQCLEAR,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-67904,salesAutomationCustomer,FORD MOTOR C/O CASS INFO SYSTEMS,"""OPS - JANE SANDERS (GA-JS)""",REQCLEAR,SAC,TEST,2323323423,212121,762-626-672,233223,777777,modeglobal.com,test.com,12,12,678567123,67766767,TEST ADDRESS,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-89496,,,"""OPS - JANE SANDERS (GA-JS)""",REQCLEAR,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-89497,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$�5,000.00","$�5,000.00",,
SALES-89498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SALES LEAD,SALES LEAD
SALES-67905,,,"""OPS - JANE SANDERS (GA-JS)""",NEW,SAC,TEST,"""@#$%%""","""@#$%%""","""@#$%%""","""@#$%%""","""@#$%%""",abc124,abc124,abc124,abc124,abc124,abc124,@#$%%,@#$%%,@#$%%,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-72184,,,"""OPS - JANE SANDERS (GA-JS)""",REQCLEAR,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-89502,,,"""OPS - JANE SANDERS (GA-JS)""",REQCLEAR,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SALES-89504,,,"""OPS - JANE SANDERS (GA-JS)""",REQCLEAR,SAC,TEST,304-687-9999,305-677-8888,305-687-1111,305-697-2222,315-656-3333,modeglobal.com,sales.lead@modeglobal.com,12000,12,678567123,917-558-3021,200 W Jefferson St,PHOENIX,85001,TEST,TEST FINANCE NOTES,AZ,Accommodation and Food Services - 72,EDI,10,OPS - RYAN KING (FL-KI943),,,,
SL-001,New Lead Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
